userId,movieId,tag,timestamp
28,53,must-see,1603350234
11,98,overrated,1684541641
27,14,underrated,1664149422
26,98,family,1698276889
47,50,underrated,1678620354
2,38,overrated,1600120189
46,14,underrated,1685816337
10,64,boring,1638095082
36,51,underrated,1639128040
44,82,family,1643044413
39,12,violent,1696385930
17,11,violent,1686118493
35,20,violent,1611186674
23,75,slow,1634677403
22,46,overrated,1609183165
38,99,overrated,1601645174
45,16,violent,1652956625
39,91,violent,1699422722
7,14,underrated,1685780179
23,18,funny,1627636750
