userId,movieId,tag,timestamp
33,40,overrated,1685762251
36,76,violent,1632352333
8,59,overrated,1668489970
28,53,must-see,1603350234
11,98,overrated,1684541641
27,14,underrated,1664149422
9,79,slow,1636146491
1,43,funny,1650610063
26,66,violent,1661097647
26,98,family,1698276889
32,41,overrated,1684014932
44,5,classic,1630865883
49,34,confusing,1641849931
26,2,boring,1679688022
47,50,underrated,1678620354
2,38,overrated,1600120189
20,8,confusing,1680481266
46,14,underrated,1685816337
17,21,underrated,1605329353
10,64,boring,1638095082
40,21,must-see,1636525742
11,8,underrated,1646029141
36,51,underrated,1639128040
27,34,violent,1653889616
22,32,confusing,1690660703
30,8,confusing,1640839961
34,23,classic,1650254065
44,82,family,1643044413
39,12,violent,1696385930
17,11,violent,1686118493
35,20,violent,1611186674
19,66,underrated,1679562762
48,15,slow,1669571864
34,52,overrated,1699480825
49,54,classic,1697795806
42,44,must-see,1604311769
41,66,boring,1636465757
1,23,slow,1697441790
23,75,slow,1634677403
22,46,overrated,1609183165
14,54,classic,1689530176
5,79,boring,1602819215
50,39,family,1671786403
8,44,funny,1681674209
38,99,overrated,1601645174
38,70,overrated,1648211385
36,43,must-see,1683523792
36,56,slow,1653652164
43,24,must-see,1664442128
18,93,underrated,1671456533
45,16,violent,1652956625
25,5,funny,1650863845
39,91,violent,1699422722
13,23,family,1612284376
18,5,violent,1657773880
7,14,underrated,1685780179
32,42,boring,1686918638
18,68,funny,1606876024
23,18,funny,1627636750
48,23,classic,1634517688
43,74,classic,1642358115
40,95,slow,1643887582
8,80,overrated,1680369900
46,66,funny,1644426115
14,80,must-see,1632327555
20,5,classic,1645912566
49,85,underrated,1676479900
35,78,underrated,1637484996
41,45,violent,1620658337
10,29,confusing,1600569254
17,16,family,1698599538
26,62,funny,1670354055
9,32,classic,1627197430
18,6,boring,1668365291
39,86,boring,1635669136
15,32,boring,1608503641
4,34,must-see,1688926420
7,22,violent,1657144885
33,36,classic,1654845067
20,92,family,1692997201
48,82,must-see,1655053768
33,7,funny,1695585225
14,61,underrated,1653949545
40,58,slow,1675069115
26,62,classic,1608291561
50,41,confusing,1671288661
45,11,violent,1614105968
22,21,family,1673978964
27,32,underrated,1699389969
38,70,must-see,1639379437
2,73,must-see,1680067837
48,15,slow,1663422206
24,38,classic,1673445410
5,77,underrated,1653305362
12,77,slow,1624240935
36,30,confusing,1651382582
24,48,confusing,1643549263
33,97,underrated,1642504869
11,52,funny,1670873943
23,71,funny,1699582093
1,97,overrated,1689027607
34,91,family,1657753057
48,94,overrated,1612237551
18,33,must-see,1696281337
49,9,slow,1670358047
10,52,family,1694353535
21,94,must-see,1613692327
8,98,violent,1621558513
23,60,underrated,1688790427
34,43,violent,1641134821
38,96,boring,1692252035
6,10,must-see,1615142683
7,57,must-see,1645795173
16,5,overrated,1665077132
37,72,underrated,1606557775
22,86,classic,1642239576
38,90,slow,1657597808
33,44,underrated,1601414545
